תאור נייר,מספר נייר,מספר נייר 2,תאריך פדיון סופי,תאריך הנפקה,תאריך נתונים,שם תיק,מספר תיק,שווי נייר,סוג חוזה,מחיר מימוש,יחס המרה,שער נייר,מטבע נקוב,ארופאי,CALL/PUT,מחיר יחידת נכס בסיס,"ע""נ ליחידה",מדד בסיס,מטבע בסיס,מדד נוכחי,מטבע הצמדה,מטבע מימוש,סוג ריבית,שפיצר,קופון הבא,פרמיה לריבית משתנה,תאריך ריבית הבא,תאריך קרן הבא,תאריך שינוי הבא,מועד אקס,תדירות ריבית,תדירות פדיון,תדירות שינוי ריבית,דרוג,קרן,כמות,ענ ליחידה,ריבית צבורה,דבידנד,סחירות,ענף,בורסה,חשבון,קוד חוב בפיגור,מדינת חשיפה,"מספר נ""ע מקורי",קבוצת לווים
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,10965,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,11236,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2550261,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,1129352,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,21478028,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,21478126,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,21478224,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2493535,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2495039,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2549630,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,21478714,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,21478812,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,21478616,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2549728,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,21478322,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,21478420,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,21478518,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,327661,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,531863,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,531871,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,531898,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2549826,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,531936,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,327718,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,331677,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,411213,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,531901,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,531928,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,513830,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,557625,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,פקדונות ספרינג,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,828001,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,828003,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,828004,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,531952,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,419615,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,14685,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,11261,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,14677,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,433135,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,433143,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,639095,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,639109,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,649201,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,118575,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,10647,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,12003,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,17242,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,14219,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,17013,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,17021,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,17102,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2718439,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,2632944,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2730553,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,4339238,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,504863,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2493731,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2495235,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,115509,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2682532,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2768419,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2860731,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2493633,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,2779314,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,18371,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,601613,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,22084,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,22076,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,10383745,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,24272,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,22092,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,22114,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,22106,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,-1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,-1,-1,1,0,,סחיר,מזומן מזומן,תל אביב,12666,0,ישראל,0,
מזומן,4,, 0/00/0000, 0/00/0000,30/09/2014,בדיקה,1,1,פקדון שח,0,0,100,שקל חדש,ארופאי,,,1,100,1,,,שקל חדש,,,,,,,,,,,,   ,1,1,1,0,,סחיר,מזומן מזומן,תל אביב,10850,0,ישראל,0,
